source,season_id,substrate,archetype,kit_size,modifier,swarm_wr,magic_wr,elite_wr,mini_boss_wr,boss_wr,damage_role_frac,defensive_role_frac,kit_size_note
P2_season100005,season_100005,shadow,shadow_mage,5,0.1956,1.000,1.000,0.495,0.000,0.000,0.80,0.20,no_chain_structure
P2_season100005,season_100005,fire,fire_mage,5,0.0719,1.000,1.000,0.500,0.000,0.000,0.80,0.20,no_chain_structure
P2_season100005,season_100005,water,water_mage,11,0.1338,1.000,0.955,0.500,0.000,0.000,0.64,0.09,proper_chain
P2_season100005,season_100005,earth,earth_caster,11,0.1338,1.000,1.000,0.500,0.000,0.000,0.36,0.18,proper_chain
P2_season100005,season_100005,wind,wind_caster,11,0.1338,1.000,1.000,0.500,0.000,0.000,0.45,0.27,proper_chain
P2_season100005,season_100005,lightning,lightning_mage,11,0.0719,1.000,1.000,0.535,0.000,0.000,0.73,0.09,proper_chain
P2_season100005,season_100005,holy,holy_caster,5,0.1338,1.000,0.985,0.500,0.000,0.000,0.80,0.20,no_chain_structure
P2_season100005,season_100005,physical,physical_warrior,11,0.3812,0.988,1.000,0.470,0.000,0.000,0.55,0.27,proper_chain
P2_season100005,season_100005,shadow,shadow_controller,5,0.3812,0.815,0.920,0.670,0.000,0.000,0.20,0.00,no_chain_structure
P2_season100005,season_100005,fire,experimental,9,0.1338,1.000,1.000,0.555,0.000,0.000,0.67,0.11,partial_chain
historical_R1R2,season_099001,earth,earth_controller,13,0.0537,1.000,0.815,0.390,0.060,0.670,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,earth,earth_caster,12,0.0509,1.000,1.000,1.000,1.000,1.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,fire,fire_mage,11,0.0509,1.000,1.000,0.965,0.270,1.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,fire,fire_mage,12,0.0509,1.000,1.000,0.940,0.210,1.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,fire,fire_mage,10,0.0509,1.000,1.000,0.995,0.740,1.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,physical,physical_grappler,5,0.2875,1.000,1.000,0.555,0.000,0.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,physical,physical_skirmisher,12,0.5250,1.000,0.995,0.505,0.000,0.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,water,water_mage,11,0.0500,1.000,1.000,0.935,0.670,1.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,water,water_mage,11,0.0509,1.000,1.000,0.905,0.810,1.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,wind,wind_caster,11,0.0509,1.000,1.000,1.000,0.940,1.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099001,wind,wind_controller,13,0.0509,0.998,0.945,0.660,0.090,0.980,N/A,N/A,pre_disposition3
historical_R1R2,season_099003,fire,fire_mage,N/A,0.0509,0.972,0.940,0.895,0.000,0.000,N/A,N/A,pre_disposition3
historical_R1R2,season_099003,water,water_mage,N/A,0.0509,1.000,1.000,0.900,0.070,0.010,N/A,N/A,pre_disposition3
historical_R1R2,season_099003,earth,earth_caster,N/A,0.0509,1.000,1.000,0.980,0.160,0.010,N/A,N/A,pre_disposition3
historical_R1R2,season_099003,wind,wind_caster,N/A,0.0509,1.000,1.000,1.000,0.600,0.190,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,fire,fire_mage,N/A,0.0509,1.000,1.000,0.960,0.170,0.000,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,fire,fire_mage,N/A,0.0509,1.000,1.000,0.975,0.110,0.010,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,water,water_mage,N/A,0.0509,1.000,1.000,0.995,0.350,0.240,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,water,water_mage,N/A,0.0509,1.000,1.000,0.985,0.510,0.130,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,earth,earth_caster,N/A,0.0509,1.000,1.000,0.965,0.080,0.010,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,earth,earth_caster,N/A,0.0509,1.000,1.000,0.990,0.310,0.000,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,wind,wind_caster,N/A,0.0509,1.000,1.000,0.965,0.040,0.010,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,wind,wind_caster,N/A,0.0509,1.000,1.000,0.995,0.550,0.040,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,fire,fire_mage,N/A,0.0509,1.000,1.000,0.965,0.040,0.600,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,water,water_mage,N/A,0.0509,1.000,1.000,0.960,0.260,0.410,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,water,water_mage,N/A,0.0509,1.000,1.000,0.805,0.200,0.680,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,earth,earth_caster,N/A,0.0509,1.000,1.000,0.995,0.290,0.410,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,earth,earth_caster,N/A,0.0509,1.000,1.000,1.000,0.230,0.340,N/A,N/A,pre_disposition3
